company_name,website,isProductOrService
Yasham Software Services Pvt,http://www.yashams.com,Domain not Available
Sperotel,http://www.sperotel.com,Domain not Available
RapidAI,http://www.rapid-ai.com,Domain not Available
KET Infotech Private Limited,http://www.ketinfotech.com,Domain not Available
Stackboot,http://www.stackboot.in,Domain not Available
SSDT,http://www.ssdttech.com,Domain not Available
Xsis Informatics,http://www.xsisinformatics.com,Domain not Available
Cloudean Infotech,http://www.cloudean.com,Domain not Available
Mastek,http://www.masteksystems.com,Domain not Available
MotivPrints India,http://www.motivprints.com,Domain not Available
WiZARA,http://www.wizarainfotech.com,Domain not Available
Fractalio Data,http://www.fractalio.com,Domain not Available
NANTECH Solutions,http://www.nantech.solutions,Domain not Available
ConceptNXT,http://www.conceptnxt.com,Domain not Available
IT-Kwest,http://www.itkwest.com,Domain not Available
Etroit,http://www.etroittech.com,Domain not Available
IIC Web Solutions Pvt,http://www.iicwebsolutions.com,Domain not Available
Prompt Edify Pvt.Ltd,http://www.promptedify.com,Domain not Available
INNPACT SOLUTIONS,http://www.innpactsolutions.com,Domain not Available
The Sparks Farm,http://www.sparksfarmdesign.com,Domain not Available
STYFI,http://www.styfi.in,Domain not Available
8i Creations,http://www.8icreations.com,Domain not Available
Genesis,http://www.genesissoftware.co.in,Domain not Available
AirFi.in,http://www.airfi.in,Domain not Available
PRODECO TECHNOLOGIES PVT,http://www.prodeco.in,Domain not Available
Zara Inforise,http://www.zarainforise.com,Domain not Available
BeamStacks,http://www.beamstacks.com,Domain not Available
ACRYLIC SOLUTIONS PVT,http://www.acrylicsolutions.in,Domain not Available
Kenpath Technologies Pvt,http://www.kenpath.io,Domain not Available
Promon,http://www.promon.co.in,Domain not Available
spocto,http://www.spocto.com,Domain not Available
Azmarq Technovation Private Limited,http://www.azmarq.com,Domain not Available
Zrava Creative Concepts Pvt,http://www.zrava.com,Domain not Available
Leigia Solutions,http://www.leigia.com,Domain not Available
CTL Infocom Pvt,http://www.ctl.in,Domain not Available
Fifth Dimension,http://www.fifthdimensiontech.com,Domain not Available
Koot,http://www.koot.business,Domain not Available
Food From India Exim Pvt,http://www.foodfromindia.org,Domain not Available
WelkinHawk IT Solutions Private Limited,http://www.welkinhawk.com,Domain not Available
Cligent,http://www.cligent.com,Domain not Available
InstaDigin,http://www.instadigin.com,Domain not Available
